UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/12/2023","100-Concert Band","1","Dumas Jr High","171901","Dumas","James Carter","Heather Seward  Rebecca Carter  Zach Sedlacek","","CC","Varsity","","189816","Newcastle March","Vinson","Our Kingsland Spring (15850) ","Hazo","Red Giant (22327) ","Vargas","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"04/12/2023","100-Concert Band","1","Dumas Junior High","171-901","Dumas","Heather Seward","James Carter  Rebecca Carter  Zachary Sedlacek  Tyler Seward","","CC","Non-Varsity","","189639","Onward and Upward March","William Owens","Plaza de Toros","Michael Story","Zig Zag","Sean O'Loughlin","Greg Montgomery","Mike Glaze","Jason Jones","2","2","1","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","2","1","2",""
"04/12/2023","100-Concert Band","1","Fannin Middle School","1889011044","Amarillo","PJ Henderson","Neil Barbaro  Scott Myers ","","CC","Varsity","","189262","The Thunderer ","Shaffer","Colliding Visions ","Balmages","Danza de Espana ","Chambers","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","2","2","2","2"
"03/07/2023","100-Concert Band","1","Friona High School","185903","FRIONA","Chris Rackley","Benjamin Monk  Caisey Fowler","","AAA","Varsity","","180735","Fort Canterbury March","Holsinger","Dance Celebration (647)","Smith","Contempo (16202) ","Story","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","B"
"03/07/2023","100-Concert Band","1","Gruver ISD","098901","Gruver","Danyelle Adkins","Allen Daniel","","AA","Varsity","","182471","Wedgwood March","William Owens","As Twilight Falls (17497) ","Sheldon","Pinnacle (638) ","Grice","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"03/07/2023","100-Concert Band","1","Happy I.S.D.","219-901","Happy","Kimberley Hanna","","","A","Non-Varsity","","182919","March on a King's Highway","LaPlante","Mythos","Bernotas","Synchronized Energy","Fhiaras","Michael Childs","Harold Bufe","Carroll Rhodes","2","2","3","2","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","2"
"04/05/2023","100-Concert Band","1","Hereford HS","05990101","Hereford","Aaron Rhynes","Christy Henson  Jonathan Cantu  Clint Larsson  Sean Rowell","","AAAA","Non-Varsity","","186408","Shadow Cove March","Standridge","Scenes from the American West (21581) (play at least 2 mvts.)","Wilds","Armenian Rhapsody (20761) ","Vinson","Robert Rubio","Nicole Baxter","Jon Seale","1","2","2","2","Rodney Gurley","Mike Glaze","James Nance","2","2","1","2",""
"04/05/2023","100-Concert Band","1","Hereford HS","05990101","Hereford","Sean Rowell","Christy Henson  Aaron Rhynes  Jonathan Cantu  Clint Larsson","","AAAA","Sub Non-Varsity","","185821","Mountainbrook March","Akey","Fortis","Gazlay","A Scottish Festival","Balmages","Robert Rubio","Nicole Baxter","Jon Seale","2","2","2","2","Rodney Gurley","Mike Glaze","James Nance","3","1","2","2",""
"04/05/2023","100-Concert Band","1","Hereford HS","059901001","Hereford","Christy Henson","Aaron Rhynes  Sean Rowell  Jonathan Cantu  Clint Larsson","","AAAA","Varsity","","185814","Gallito","Lope/Weger","Glaciers (17564) ","Director","Ride (15843) ","Hazo","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","Hereford JH","059901042","Hereford","Sean Rowell","Jonathan Cantu  Clint Larsson  Christy Henson  Aaron Rhynes","","CC","Sub Non-Varsity","","186168","Synergy","Owens","Qin Shi's Stone Army","Arcari","Wings to the Mind","Balmages","Greg Montgomery","Mike Glaze","Jason Jones","2","2","2","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","3","3","2","3",""
