UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/29/2023","935-Treble Chorus","1","Canyon Jr High","191-901-041","Canyon","Heather Farren","Jeremy Talley","Mykel Byersmith","CC","Varsity","","182692","The River Sleeps Beneath the Sky","Mary Lynn Lightfoot","I've Been in the Storm So Long","Christi Jones","Lakeside Lullaby","Jacob Narverud","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","C"
"03/29/2023","935-Treble Chorus","1","Canyon Jr. High","191901041","Canyon","Jeremy Talley","Heather Farren","Mykel Byersmith","CC","Non-Varsity","","184254","Wishing Star","Beth Bolton/Laura Farnell                                   ","Zum Gali Gali","Salli Terri","Over My Head","Adam & Matt Podd","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","2","1","D"
"03/29/2023","935-Treble Chorus","1","Crockett Middle School","2264242","Amarillo","Nakita Vickery","","Christi Dollar","CC","Non-Varsity","","187966","The Moon","Andy Beck","Hashivenu","Doreen Rao","Sarasponda","Ruth Boshkoff","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","2","2","2"
"03/29/2023","935-Treble Chorus","1","Crockett Middle School","88901043","Amarillo","Lauren Mellinger ","","Cristi Dollar","CC","Varsity","","186771","All Join Hands ","Crocker ","The Tiger ","Bernofsky ","Shule Aroon ","Schram ","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","2","2","2","2"
"03/29/2023","935-Treble Chorus","1","de Zavala Middle School","188-901-049","Amarillo","Bryan Hackett","","Cristi Dollar","C","Varsity","","185994","Shule Aroon (22868) (SSA) (opt violin) (accomp)","Traditional Irish Folk Song/Schram","The Poet Sings (16348) (SSA) (accomp)","Stroope","Hodie Christus natus est","Pullen","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","1","1","1","C"
"03/29/2023","935-Treble Chorus","1","Dumas Junior High","171-901","Dumas","Rhonda Swanson","","Nancy Davis","CC","Varsity","","186439","Will You Still Love Me (12060) (SA) (a cappella)","DeWitt","The King of Love (12180) (3 part  opt solo) (accomp)","Anon. or Trad./Knowles","A la Nanita Nana (12285) (Spanish) (SA) (accomp)","Anon. or Trad./Eddleman","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","3","3","3","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","3","4","4","4",""
"03/29/2023","935-Treble Chorus","1","Fannin Middle School","188-901-044","Amarillo","Holly Johnston","","Allison Johnston","CC","Non-Varsity","","185197","Like A Rose in the Summer (18511) (SA) (a cappella)","Crocker","A la Puerta del Cielo (16328) (SA) (English or Spanish) (accomp)","Anon. or Trad./Roth","Lift Every Voice and Sing","Dilworth","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","2","2","2",""
"03/29/2023","935-Treble Chorus","1","Fannin Middle School","188-901-044","Amarillo","Holly Johnston","","Allison Johnston","CC","Varsity","","183505","Come to the Celebration","Farnell","O Magnum Mysterium","Ramos","Sisi Ni Moja","Narverud","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","3","2","2","2"
"03/29/2023","935-Treble Chorus","1","Houston MS","188901045","Amarillo","Jessica Swenn","","Cristi Dollar","CC","Varsity","","186224","Zum Gali Gali (12036)","Anon. or Trad./Terri","God Be In My Head (17830) (SA) (accomp)","Ramsey","Wade in the Water (22842) (SA) (opt solos) (accomp)","Traditional Spiritual/Davison","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","4","4","3","4",""
"03/29/2023","935-Treble Chorus","1","Mann Middle School","18890146","Amarillo","Crystal Chambers","","Cristi Dollar","CC","Varsity","","186921","Simple Gifts (16696) (unison) (accomp)","Anon. or Trad./Wheeler","Zum Gali Gali","Johnson","Lux Aeterna (19593) (SA)(a cappella or accomp) (a cappella)","Jones","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","2","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","2","2","2"
"04/11/2023","935-Treble Chorus","1","Palo Duro High School","188901004","Amarillo","Mark Bailey","","Libby Clifton","AAAAA","Non-Varsity","","189436","Laudate Dominum Omnes Gentes","Patti Drennan","Non Nobis  Domine (12130) (SSA) (a cappella)","Byrd/Bartle","Abendlied (Evening Song) (12305) (German) (SA) (accomp)","Mendelssohn","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","C"
"04/11/2023","935-Treble Chorus","1","Pampa High School","090904","PAMPA","Brianna Montgomery","Tammy May","May/Montgomery","AAAA","Non-Varsity","","184235","Arise  My Love (16938) (SSA) (accomp)","Farnell","Like A Rose in the Summer (18511)","Crocker","Night Song (12340) (accomp)","Wittig","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","C"
"04/11/2023","935-Treble Chorus","1","Pampa High School","090904","PAMPA","Brianna Montgomery","Tammy May","May/Montgomery","AAAA","Varsity","","184234","Now Sing We Joyfully Unto God (12479) (SSAA) (accomp)","Young","Os Justi (12359) (Latin) (SSAA) (a cappella)","Daley","Chanson D'Amour","Armstrong","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","2","1","B"
"03/29/2023","935-Treble Chorus","1","Pampa Junior High","090904","Pampa","Stacy Pepper","","Tammy May","CC","Non-Varsity","","182488","The Moon (17823) (SA) (accomp)","Beck","The Cuckoo (12020) (w/ or w/o accomp) (SA) (a cappella)","Anon. or Trad./Appleby/Fowler","First Snow","Unterseher","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","1","2","2"
"03/29/2023","935-Treble Chorus","1","Pampa Junior High","090904","Pampa","Stacy Pepper","","Tammy May","CC","Varsity","","182486","Heart  We Will Forget Him! (16333) (SSA) (accomp)","Farnell","A Maidens Song (18517) (SSA) (a cappella)","Crocker","Storm","James M Desjardins","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","2","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","1","2","2"
"03/29/2023","935-Treble Chorus","1","Perryton Junior High","179901","Perryton","Teri Arruda","Keith Harris","Brenda Schnabel","CC","Varsity","","186983","Love In Thy Youth (12024) (SA) (a cappella)","Crocker/Leavitt","Something Told the Wild Geese (12096) (SA) (accomp)","Anon. or Trad./Porterfield","Sing A Jubilant Song (12191) (2 part) (accomp)","Perry","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","1","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","4","4","3","4",""
"04/11/2023","935-Treble Chorus","1","Randall High School ","191901002","Amarillo","Kelli Harter","Matthew Miller","Matthew Miller","AAAA","Varsity","","189059","In Meinem Garten (12467) (German) (accomp)","Schumann/Klein","Esto Les Digo (16757) (SSAA) (a cappella)","Lange","Salmo 150         Ernani Aguiar","","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","B"
"03/29/2023","935-Treble Chorus","1","Randall Junior High","1910901045","Amarillo","Morgan Farren","","Matthew Miller","CC","Non-Varsity","","181712","All Night  All Day","Gilpin","Adoramus Te","Johnson","Zum Gali  Gali","Terri","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","D"
"03/29/2023","935-Treble Chorus","1","Randall Junior High","1910901045","Amarillo","Morgan Farren","","Matthew Miller","CC","Varsity","","181711","Deep River","Robinson","El Vito","Crocker","Dance On My Heart","Koepke","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","1","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","1","1","1","1","C"
"04/11/2023","935-Treble Chorus","1","Tascosa High school","188901005","Amarillo","Kyle Worley","Tiffany Russell","James Rauscher","AAAAA","Non-Varsity","","189744","Love in thy Youth","Crocker","Pie Jesu","Johnson","Little Wheel A-Turnin'","Gilpin","Brett Farr","Frank Eychaner","Eric Hindman","2","1","2","2","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","2"
"04/11/2023","935-Treble Chorus","1","Tascosa High School","188901005","Amarillo","Tiffany Russell","Kyle Worley","James Rauscher","AAAAA","Varsity","","189743","I Am the Wind (25422) (accomp)","Hagenberg","Psalm 100 (12547) (SSA) (two pianos or one piano and inst) (accomp)","Clausen","Omnia Vincit Amor (22828) (SA) (opt piano) (a cappella)","Trotta","Brett Farr","Frank Eychaner","Eric Hindman","1","1","1","1","Catherine Stevenson","Heather Orr","Mary Lynn Hokett","1","1","1","1","B"
"03/29/2023","935-Treble Chorus","1","Travis Middle School","188901047","Amarillo","Lauren Crandon","","Christi Dollar","CCC","Sub Non-Varsity","","186277","Love In Thy Youth","Crocker/Leavitt","Prettier Far Than These","Beery","The Drunken Sailor","Anon. or Trad./Crocker","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","3","2","3","3","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","4","4","4","4",""
"03/29/2023","935-Treble Chorus","1","Travis Middle School","188901047","Amarillo","Lauren Crandon","","Christi Dollar","CCC","Non-Varsity","","186274","Antiphonal Kyrie","Thrift","Shenandoah","Anon. or Trad./Farnell","J'entends Le Moulin","French Canadian Folk Song/Crocker","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","2","3","2",""
"03/29/2023","935-Treble Chorus","1","West Plains Junior High School","191901043","Amarillo","Mika Daniels","","Marcus Bradford","CC","Varsity","","182799","Bandyrowe (22848) (2 part) (accomp)","Traditional Irish Folk Song/Brumfeld","Music Alone Shall Live (12027) (SA) (a cappella)","Anon. or Trad./Crocker","Cantar!","Jay Althouse","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","1","1","2","1","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","2","1","2","2","2"
"03/29/2023","935-Treble Chorus","1","West Plains Junior High School","191901043","Amarillo","Mika Daniels","","Marcus Bradford","CC","Non-Varsity","","182798","Cripple Creek","Emily Crocker","The Cuckoo (12020) (w/ or w/o accomp) (SA) (a cappella)","Anon. or Trad./Appleby/Fowler","Over the Sea to Skye (12092) (SA) (accomp)","McLeod/Eilers","Robin Brockway-Nichols","Keith Brumfield","Heather Bolin","2","2","2","2","Theresa (Whatley) Pritchard","Stephanie Mouat","Kathy Pogue","3","3","2","3",""
